Country,GDP (Nominal) (Per Capita) (in US Dollars) (2013) (by IMF)
Luxembourg,110423
Norway,100318
Qatar,100260
Switzerland,81323
Australia,64863
Denmark,59190
Sweden,57909
Singapore,54775
United States,53101
Canada,51989
Austria,48956
Kuwait,47639
Netherlands,47633
Finland,47129
Ireland,45620
Iceland,45535
Belgium,45383
Germany,44999
United Arab Emirates,43875
France,42999
New Zealand,40481
Brunei,39942
United Kingdom,39567
Japan,38491
* Hong Kong*,37777
Israel,37035
Italy,34714
* European Union*,34060
Spain,29150
Bahrain,27435
Oman,25288
Saudi Arabia,24847
Cyprus,24761
"Korea, South",24328
"Bahamas, The",23488
Malta,22872
Slovenia,22756
Greece,21857
Taiwan,20930
Portugal,20727
Trinidad and Tobago,20610
Equatorial Guinea,20572
Estonia,19031
Czech Republic,18857
Slovakia,17706
Uruguay,16609
Lithuania,16003
Chile,15775
Barbados,15373
Latvia,15205
Seychelles,15046
Russia,14818
Palau,14022
Antigua and Barbuda,13838
Croatia,13561
Hungary,13404
Poland,13393
Saint Kitts and Nevis,13115
Kazakhstan,12843
Venezuela,12472
Gabon,12302
Argentina,11766
Brazil,11310
Libya,11046
Panama,10838
Turkey,10815
Mexico,10629
Malaysia,10547
*World*[6],10486
Costa Rica,10432
Lebanon,9920
Suriname,9240
Mauritius,9159
Romania,8910
Colombia,8097
Azerbaijan,7899
Saint Lucia,7801
Grenada,7696
Belarus,7577
Bulgaria,7328
Botswana,7135
Turkmenistan,7111
Dominica,7034
Montenegro,7026
Maldives,6764
China,6747
Peru,6674
South Africa,6620
Iraq,6594
Saint Vincent and the Grenadines,6563
Ecuador,5968
Serbia,5906
Angola,5845
Dominican Republic,5834
Thailand,5674
Namibia,5666
Algeria,5437
East Timor,5177
Jordan,5174
Jamaica,5133
"Macedonia, Republic of",4943
Iran,4750
Albania,4609
Fiji,4605
Tonga,4604
Belize,4601
Bosnia and Herzegovina,4597
Tunisia,4345
Paraguay,4169
Mongolia,3971
Ukraine,3919
El Salvador,3875
Cape Verde,3836
Samoa,3832
Guyana,3729
Georgia,3604
Guatemala,3512
Indonesia,3509
* Kosovo*[7],3454
Tuvalu,3404
Swaziland,3312
"Congo, Republic of the",3295
Egypt,3225
Armenia,3208
Morocco,3199
Sri Lanka,3161
Vanuatu,3081
Philippines,2790
Bolivia,2700
Bhutan,2665
Honduras,2323
Papua New Guinea,2282
Moldova,2229
Sudan,2039
Solomon Islands,1950
Vietnam,1901
Uzbekistan,1867
Nicaragua,1839
Ghana,1729
Nigeria,1692
Djibouti,1594
Kiribati,1570
Zambia,1541
India,1504
Laos,1476
Yemen,1468
Pakistan,1307
Kyrgyzstan,1280
Cameroon,1271
South Sudan,1262
Chad,1218
Lesotho,1194
C“te d'Ivoire,1175
Mauritania,1127
Senegal,1072
Tajikistan,1044
Kenya,1017
Cambodia,1015
Zimbabwe,987
Comoros,920
Bangladesh,903
Burma,868
Haiti,819
Benin,805
Sierra Leone,784
Burkina Faso,728
Tanzania,703
Rwanda,698
Nepal,692
Afghanistan,678
Mali,656
Togo,639
Uganda,626
Mozambique,592
North Korea,583
Guinea,564
Eritrea,544
Ethiopia,541
Guinea-Bissau,524
Madagascar,488
Liberia,473
"Gambia, The",453
Niger,443
"Congo, Democratic Republic of the",397
Central African Republic,333
Burundi,303
Malawi,222
Syria,n/a
