Country,GDP (Nominal) (Per Capita) (in US Dollars) (2013) (by UN)
Liechtenstein,158977
Monaco,151878
Luxembourg,105287
Norway,100056
Qatar,93831
* Bermuda*,85762
Switzerland,78924
* Macau*,78275
Australia,67869
San Marino,59303
* Cayman Islands*,58942
Kuwait,56367
Denmark,56253
Sweden,55072
Canada,52283
Singapore,52141
United States,51163
Japan,46838
Austria,46604
Netherlands,46073
Ireland,46032
Finland,45741
Belgium,43707
United Arab Emirates,41692
Iceland,41670
Germany,41376
* Greenland*,41266
Brunei,41127
Andorra,41122
France,39617
United Kingdom,39367
* New Caledonia*,38869
New Zealand,38399
* Hong Kong*,36827
Italy,33069
* European Union*,32507
"* Virgin Islands, British*",32375
Israel,31537
Spain,28278
* Puerto Rico*,28021
Cyprus,26462
* French Polynesia*,26113
Saudi Arabia,25136
* Aruba*,24852
Oman,23570
"Korea, South",23052
Bahrain,23039
* Turks and Caicos Islands*,22448
Greece,22377
Slovenia,21947
"Bahamas, The",21624
Malta,20514
* Anguilla*,20048
Portugal,20006
Equatorial Guinea,19680
Czech Republic,18428
* Netherlands Antilles*,18360
Trinidad and Tobago,17365
Estonia,17335
Slovakia,16774
Barbados,16004
Libya,15566
Chile,15363
* Cook Islands*,14918
Gabon,14747
Uruguay,14703
Saint Kitts and Nevis,14267
Russia,14178
Lithuania,13984
Latvia,13773
Antigua and Barbuda,13207
Croatia,13105
Poland,12820
* Montserrat*,12774
Venezuela,12767
Hungary,12490
Kazakhstan,12445
Nauru,12022
Argentina,11610
Brazil,11347
Seychelles,11164
Turkey,10653
Malaysia,10422
Palau,10271
* World*,10269
Mexico,9795
Panama,9534
Costa Rica,9387
Suriname,9376
Mauritius,9238
Lebanon,9143
Romania,7787
Colombia,7752
Maldives,7700
Grenada,7418
Azerbaijan,7383
South Africa,7336
Saint Lucia,7289
Iran,7217
Botswana,7191
Bulgaria,7004
Dominica,6958
Peru,6825
Belarus,6726
Montenegro,6514
Turkmenistan,6469
Saint Vincent and the Grenadines,6349
Cuba,6301
China,6070
Thailand,5775
Dominican Republic,5731
Namibia,5668
Ecuador,5648
Angola,5586
Algeria,5380
Jamaica,5343
Serbia,5315
East Timor,4835
Belize,4795
Fiji,4572
Iraq,4557
"Macedonia, Republic of",4548
Bosnia and Herzegovina,4517
Tonga,4429
Jordan,4414
Tunisia,4150
Tuvalu,4042
Paraguay,3878
Ukraine,3872
Cape Verde,3850
Albania,3809
El Salvador,3790
Marshall Islands,3773
Mongolia,3673
Georgia,3632
Samoa,3607
Guyana,3585
Indonesia,3557
"Congo, Republic of the",3404
Armenia,3351
Guatemala,3340
"Micronesia, Federated States of",3165
Swaziland,3137
Egypt,3115
Vanuatu,3040
Morocco,2952
Sri Lanka,2816
* Kosovo*,2813
Philippines,2587
Bolivia,2576
Bhutan,2509
"Palestine, State of",2431
Honduras,2339
Papua New Guinea,2187
Syria,2126
Moldova,2064
Solomon Islands,1837
Uzbekistan,1801
Nicaragua,1754
Kiribati,1745
Vietnam,1716
Ghana,1605
Djibouti,1583
Nigeria,1555
Zambia,1527
India,1516
S?o Tom‚ and Pr¡ncipe,1386
Sudan,1383
Yemen,1376
Laos,1369
C“te d'Ivoire,1230
Cameroon,1202
Pakistan,1201
Lesotho,1191
Kyrgyzstan,1183
Burma,1126
Mauritania,1018
Senegal,1017
Tajikistan,953
Cambodia,944
Kenya,943
South Sudan,928
Comoros,858
Bangladesh,822
Chad,818
Benin,752
Sierra Leone,725
Zimbabwe,714
Haiti,706
Mali,691
Afghanistan,683
Nepal,656
Burkina Faso,649
Rwanda,620
Tanzania,608
Uganda,598
Togo,590
"Korea, North",583
Mozambique,579
* Zanzibar*,565
Guinea,532
"Gambia, The",512
Guinea-Bissau,510
Eritrea,507
Central African Republic,483
Madagascar,447
Niger,395
Liberia,356
Malawi,355
Ethiopia,354
"Congo, Democratic Republic of the",286
Burundi,229
Somalia,128
