Country,GDP (Nominal) (Per Capita) (2013) (by WB)
Monaco,163026
Liechtenstein,134617
Luxembourg,107476
Norway,99558
Qatar,89736
* Bermuda*,84460
Switzerland,79052
* Macau*,78275
Australia,67036
San Marino,62188
Denmark,56210
Sweden,55245
Canada,52219
Singapore,51709
Kuwait,51497
United States,49965
* Isle of Man*,49817
Austria,47226
Japan,46720
Andorra,46418
Finland,46179
Netherlands,46054
Ireland,45836
* Faroe Islands*,44317
Belgium,43413
Iceland,42658
Germany,41514
Brunei,41127
France,39772
United Arab Emirates,39058
United Kingdom,38514
New Zealand,37749
* Hong Kong*,36796
Israel,33250
Italy,33049
* European Union*,32672
* Cayman Islands*,30191
Spain,29195
* Puerto Rico*,27678
Cyprus,26315
* Aruba*,25355
Saudi Arabia,25136
Equatorial Guinea,24036
Oman,23133
"Korea, South",22590
* Greenland*,22508
Bahrain,22467
Slovenia,22092
Greece,22083
"Bahamas, The",21908
Malta,20848
Portugal,20182
Czech Republic,18608
Trinidad and Tobago,17934
Slovakia,16934
Estonia,16316
Chile,15363
Barbados,14917
* French Polynesia*,14530
Uruguay,14449
Lithuania,14150
Russia,14037
Latvia,14009
Saint Kitts and Nevis,13969
Antigua and Barbuda,13207
Croatia,13227
Venezuela,12767
Poland,12708
Hungary,12622
Kazakhstan,12007
Seychelles,11758
Argentina,11558
Gabon,11430
Brazil,11139
Palau,11006
Turkey,10666
Libya,10456
Malaysia,10381
*World*,10172
Mexico,9742
Lebanon,9705
Panama,9534
Costa Rica,9391
Suriname,8864
Mauritius,8124
Romania,7943
Colombia,7752
South Africa,7508
Grenada,7485
Azerbaijan,7392
Botswana,7191
Bulgaria,6986
Iran,6816
Montenegro,6813
Belarus,6685
Dominica,6691
Peru,6573
Maldives,6567
Saint Lucia,6558
Saint Vincent and the Grenadines,6515
Turkmenistan,6511
Iraq,6455
China,6188
Cuba,6051
Dominican Republic,5736
Namibia,5668
Jamaica,5472
Angola,5482
Thailand,5474
Ecuador,5456
Algeria,5348
Serbia,5190
Jordan,4945
Belize,4720
"Macedonia, Republic of",4589
Tonga,4494
Bosnia and Herzegovina,4447
Fiji,4438
Tunisia,4237
Albania,4000
Ukraine,3867
Cape Verde,3838
Paraguay,3813
El Salvador,3777
Tuvalu,3740
Mongolia,3673
Guyana,3584
Samoa,3584
Indonesia,3557
Marshall Islands,3556
Georgia,3508
* Kosovo*,3453
Guatemala,3368
Armenia,3351
Syria,3289
Egypt,3187
Vanuatu,3176
"Micronesia, Federated States of",3165
"Congo, Republic of the",3154
Swaziland,3044
Morocco,2925
Sri Lanka,2923
Philippines,2587
Bolivia,2576
Bhutan,2399
Honduras,2264
Papua New Guinea,2184
Moldova,2038
Solomon Islands,1835
Vietnam,1755
Nicaragua,1754
Kiribati,1743
Uzbekistan,1717
Ghana,1605
Sudan,1580
Nigeria,1555
Yemen,1494
India,1489
Zambia,1469
S?o Tom‚ and Pr¡ncipe,1402
Laos,1399
Pakistan,1290
C“te d'Ivoire,1244
* West Bank and Gaza*,1210
Lesotho,1193
Kyrgyzstan,1160
Cameroon,1151
Mauritania,1106
East Timor,1068
Djibouti,1062
Senegal,1032
Cambodia,946
Chad,885
Tajikistan,872
Kenya,862
South Sudan,862
Comoros,831
Zimbabwe,788
Haiti,771
Benin,752
Bangladesh,747
Nepal,707
Mali,694
Afghanistan,687
Sierra Leone,635
Burkina Faso,634
Rwanda,620
Tanzania,609
Guinea,591
Mozambique,579
Togo,574
Uganda,547
Guinea-Bissau,539
"Gambia, The",512
Central African Republic,473
Eritrea,450
Madagascar,447
Liberia,422
Ethiopia,410
Niger,383
"Congo, Democratic Republic of the",272
Malawi,268
Burundi,251
Somalia,150
