Country,Globalization Index (2013) (by KOF)
Belgium,92.3
Ireland,91.79
Netherlands,91.33
Austria,89.48
Singapore,88.89
Denmark,88.12
Sweden,87.63
Portugal,87.07
Hungary,86.85
Switzerland,86.28
Cyprus,86.08
United Kingdom,85.39
Canada,85.38
Luxembourg,85.15
Czech Republic,86.08
Finland,84.85
Spain,84.21
France,83.86
Slovakia,83.49
Norway,81.99
Australia,81.59
Germany,81.08
Italy,81.01
Greece,80.31
Estonia,79.72
Poland,79.1
Malaysia,78.23
New Zealand,78.22
Israel,77.27
Slovenia,76.85
Malta,76.09
United Arab Emirates,75.66
Croatia,75.36
United States,74.76
Chile,72.91
Lithuania,72.79
Iceland,72.73
Romania,72.53
Qatar,72.03
Bulgaria,71.73
Kuwait,70.97
Jordan,70.1
Turkey,69.02
Latvia,69
Montenegro,68.86
Bahrain,68.34
Ukraine,67.78
Russia,67.78
Lebanon,67.51
Saudi Arabia,67.49
Panama,67.43
Uruguay,65.28
Serbia,64.9
South Africa,64.39
Peru,64.3
Japan,63.73
Thailand,63.64
Moldova,63.49
El Salvador,62.59
South Korea,62.31
Bosnia and Herzegovina,62.31
Mauritius,61.78
Costa Rica,61.64
Georgia,61.56
Morocco,61.38
Oman,61.38
Nigeria,61.2
Honduras,60.93
Dominican Republic,60.22
Macedonia,60.1
Guatemala,59.67
Tunisia,59.58
China,59.43
Mexico,59.25
Jamaica,59.21
Brazil,59.21
Brunei,58.54
Albania,58.32
Argentina,58.3
Fiji,58.28
Egypt,58.1
Kazakhstan,58.04
Trinidad and Tobago,57.97
Paraguay,57.57
Mongolia,57.29
Azerbaijan,56.71
Kyrgyzstan,56.12
Philippines,56.12
Zambia,55.62
Indonesia,55.2
Namibia,54.99
Belarus,54.98
Barbados,54.95
Armenia,54.72
Ghana,54.55
Grenada,54.51
Nicaragua,54.42
Ecuador,54.01
Gabon,53.45
Senegal,53.08
Bolivia,53.08
Colombia,52.4
Algeria,52.37
Ivory Coast,52.05
Bahamas,51.84
Pakistan,51.68
India,51.57
Gambia,51.51
Swaziland,51.14
Guyana,50.88
Zimbabwe,50.7
Togo,50.67
Republic of the Congo,50.56
Sri Lanka,49.85
Djibouti,49.82
Venezuela,49.44
Libya,48.94
Cuba,48.88
Kenya,48.79
Belize,48.23
Antigua and Barbuda,48.16
Seychelles,47.99
Vanuatu,47.98
Suriname,47.68
Cambodia,47.68
Vietnam,47.02
Lesotho,47
Mali,46.87
Botswana,46.24
Uganda,46.18
Saint Lucia,46.06
Mozambique,46.05
Cape Verde,45.76
Papua New Guinea,45.71
Samoa,45.54
Cameroon,45.22
Yemen,45.18
Palau,45.07
Angola,44.73
Mauritania,44.43
Burkina Faso,44.35
New Caledonia,44.05
Benin,43.97
Aruba,43.68
Syria,43.67
Malawi,42.6
Guinea-Bissau,42.58
Madagascar,42.53
Guinea,42.31
French Polynesia,42.26
Rwanda,42.24
Maldives,42.2
Saint Kitts and Nevis,41.65
Tajikistan,40.79
Macau,40.75
Bangladesh,40.65
St. Vincent and the Grenadines,40.56
Iran,40.24
Chad,40.15
Iraq,40.1
Dominica,39.94
Tanzania,39.12
Sierra Leone,38.97
Nepal,38.05
Niger,37.81
Ethiopia,37.46
Democratic Republic of the Congo,36.87
Central African Republic,36.33
Sudan,36.19
Turkmenistan,36.06
Bermuda,35.75
Haiti,35.2
S?o Tom‚ and Pr¡ncipe,35
Uzbekistan,34.41
Burundi,33.5
Palestine,32.79
Myanmar,31.98
Afghanistan,31.46
Comoros,31.05
Liberia,30.81
Bhutan,27.91
Eritrea,27.34
Solomon Islands,26.72
Laos,26.52
Equatorial Guinea,26.26
Kiribati,25.46
East Timor,24.35
