Country,Human Development Index (2013) (by UN),Human Development Index (change per year) (2013) (by UN)
Norway,0.955,0.0015
Australia,0.938,0.0015
United States,0.937,0.0015
Netherlands,0.921,0.001
Germany,0.92,0.002
New Zealand,0.919,0.001
Ireland,0.916,0
Sweden,0.916,0.0015
Switzerland,0.913,0.0005
Japan,0.912,0.0015
Canada,0.911,0.001
South Korea,0.909,0.002
Hong Kong,0.906,0.003
Iceland,0.906,0.0025
Denmark,0.901,0.001
Israel,0.9,0.002
Belgium,0.897,0.0005
Austria,0.895,0.0015
Singapore,0.895,0.0015
France,0.893,0.001
Finland,0.892,0.001
Slovenia,0.892,0
Spain,0.885,0.0005
Liechtenstein,0.883,0.0005
Italy,0.881,#VALUE!
Luxembourg,0.875,#VALUE!
United Kingdom,0.875,0.0005
Czech Republic,0.873,0.001
Greece,0.86,0.003
Brunei Darussalam,0.855,0.0005
Cyprus,0.848,0.0005
Malta,0.847,0.0015
Andorra,0.846,#VALUE!
Estonia,0.846,0.0035
Slovakia,0.84,0.002
Qatar,0.834,0.0035
Hungary,0.831,0.001
Barbados,0.825,0.001
Poland,0.821,0.002
Chile,0.819,0.003
Lithuania,0.818,0.004
United Arab Emirates,0.818,0.001
Portugal,0.816,0.0005
Latvia,0.814,0.0045
Argentina,0.811,0.003
Seychelles,0.806,0.0035
Croatia,0.805,0.0005
Bahrain,0.796,0.001
Bahamas,0.794,0.0015
Belarus,0.793,0.004
Uruguay,0.792,0.0035
Montenegro,0.791,0.002
Palau,0.791,0.006
Kuwait,0.79,0.002
Russia,0.788,0.003
Romania,0.786,0.0015
Bulgaria,0.782,0.002
Saudi Arabia,0.782,0.0025
Cuba,0.78,0.0025
Panama,0.78,0.005
Mexico,0.775,0.0025
Costa Rica,0.773,0.0025
Grenada,0.77,0.001
Libya,0.769,0.002
Malaysia,0.769,0.003
Serbia,0.769,0.001
Antigua and Barbuda,0.76,0.0005
Trinidad and Tobago,0.76,0.001
Kazakhstan,0.754,0.005
Albania,0.749,0.0015
Venezuela,0.748,0.002
Dominica,0.745,0.001
Georgia,0.745,0.005
Lebanon,0.745,0.001
Saint Kitts and Nevis,0.745,#VALUE!
Iran,0.742,0.001
Peru,0.741,0.004
Macedonia,0.74,0.002
Ukraine,0.74,0.0035
Mauritius,0.737,0.0025
Bosnia and Herzegovina,0.735,0.001
Azerbaijan,0.734,#VALUE!
Saint Vincent,0.733,0.001
Oman,0.731,0.0015
Brazil,0.73,0.002
Jamaica,0.73,0.0015
Armenia,0.729,0.0035
Saint Lucia,0.725,0.001
Ecuador,0.724,0.0025
Turkey,0.722,0.0035
Colombia,0.719,0.0025
Sri Lanka,0.715,0.005
Algeria,0.713,0.0015
Tunisia,0.712,0.001
Tonga,0.71,0.0005
Belize,0.702,0.001
Dominican Republic,0.702,0.0025
Fiji,0.702,0.0015
Samoa,0.702,0.0015
Jordan,0.7,0.0005
China,0.699,0.005
Turkmenistan,0.698,0.005
*World*,0.694,#VALUE!
Thailand,0.69,0.002
Maldives,0.688,0.0025
Suriname,0.684,0.0025
Gabon,0.683,0.0035
El Salvador,0.68,0.001
Bolivia,0.675,0.0035
Mongolia,0.675,0.009
Palestine,0.67,0.004
Paraguay,0.669,0.0005
Egypt,0.662,0.0005
Moldova,0.66,0.004
Philippines,0.654,0.0025
Uzbekistan,0.654,0.005
Syria,0.648,0.001
Micronesia,0.645,0.003
Guyana,0.636,0.004
Botswana,0.634,0.0005
Honduras,0.632,0.0015
Indonesia,0.629,0.0045
Kiribati,0.629,0.0005
South Africa,0.629,0.004
Vanuatu,0.626,0.0015
Kyrgyzstan,0.622,0.0035
Tajikistan,0.622,0.005
Vietnam,0.617,#VALUE!
Namibia,0.608,0.002
Nicaragua,0.599,0.003
Morocco,0.591,0.0025
Iraq,0.59,0.006
Cape Verde,0.586,0.0025
Guatemala,0.581,0.001
Timor Leste,0.576,0.0055
Ghana,0.558,0.009
Equatorial Guinea,0.554,0.0035
India,0.554,0.0035
Cambodia,0.543,0.0055
Laos,0.543,0.0045
Bhutan,0.538,0.0065
Swaziland,0.536,0.002
Republic of the Congo,0.534,0.0025
Solomon Islands,0.53,0.004
S?o Tom‚ and Pr¡ncipe,0.525,0.0025
Kenya,0.519,0.004
Bangladesh,0.515,0.0035
Pakistan,0.515,0.0015
Angola,0.508,0.003
Burma,0.498,0.004
Cameroon,0.495,0.0035
Madagascar,0.483,0.0005
Tanzania,0.476,0.005
Nigeria,0.471,0.0045
Senegal,0.47,#VALUE!
Mauritania,0.467,0.0015
Papua New Guinea,0.466,0.004
Nepal,0.463,0.0025
Lesotho,0.461,0.0045
Togo,0.459,0.0035
Yemen,0.458,#VALUE!
Haiti,0.456,0.003
Uganda,0.456,0.003
Zambia,0.448,#VALUE!
Djibouti,0.445,0.007
Gambia,0.439,0.001
Benin,0.436,0.002
Rwanda,0.434,0.0045
C“te d'Ivoire,0.432,0.0025
Comoros,0.429,0.0015
Malawi,0.418,0.0025
Sudan,0.414,0.0015
Zimbabwe,0.397,0.0005
Ethiopia,0.396,0.0045
Liberia,0.388,0.0105
Afghanistan,0.374,0.003
Guinea-Bissau,0.364,0.0015
Sierra Leone,0.359,0.0065
Burundi,0.355,0.0035
Guinea,0.355,0.003
Central African Republic,0.352,0.004
Eritrea,0.351,0.0045
Mali,0.344,#VALUE!
Burkina Faso,0.343,0.0045
Chad,0.34,0.002
Mozambique,0.327,0.0045
Democratic Republic of the Congo,0.304,0.0045
Niger,0.304,0.003
