Country,Mortality Rate (per capita) (2011) (by OECD)
Lesotho,0.0215
Afghanistan,0.0182
Swaziland,0.018
DR Congo,0.0158
Guinea-Bissau,0.0158
Central African Republic,0.0157
Nigeria,0.0153
Angola,0.0152
Monaco,0.0152
Bulgaria,0.0147
Zambia,0.0145
Somalia,0.0145
Sierra Leone,0.0145
Ukraine,0.0145
Belarus,0.0143
Serbia,0.0142
Chad,0.014
Latvia,0.0139
Equatorial Guinea,0.0138
Rwanda,0.0136
Malawi,0.0135
Mozambique,0.0135
Russia,0.0135
Lithuania,0.0135
Cameroon,0.0132
Mali,0.0131
Burundi,0.0129
Zimbabwe,0.0129
Hungary,0.0129
Republic of the Congo,0.0123
Pitcairn Islands,0.0123
Romania,0.0118
South Africa,0.0117
Croatia,0.0116
Saint Helena,0.0115
Estonia,0.0114
Burkina Faso,0.0113
Montserrat,0.0112
Niger,0.0111
Uganda,0.0111
Georgia,0.0111
Moldova,0.011
Ethiopia,0.0107
Djibouti,0.0104
Germany,0.0104
Kenya,0.0103
Gambia,0.0103
Czech Republic,0.0102
Tanzania,0.01
Uruguay,0.0099
Isle of Man,0.0099
Japan,0.0099
C“te d'Ivoire,0.0098
Poland,0.0098
Guinea,0.0097
Niue,0.0097
Portugal,0.0097
Italy,0.0097
Papua New Guinea,0.0096
Belgium,0.0096
Slovakia,0.0096
Greece,0.0096
Liberia,0.0095
Sweden,0.0095
Macedonia,0.0095
Finland,0.0094
Denmark,0.0094
South Sudan,0.0093
Senegal,0.0093
Montenegro,0.0093
East Timor,0.0092
Bosnia and Herzegovina,0.0092
Botswana,0.0091
Slovenia,0.0091
Austria,0.0091
Tuvalu,0.009
North Korea,0.009
Nauru,0.0089
Gabon,0.0089
Mauritania,0.0088
Ghana,0.0088
United Kingdom,0.0088
Saint Pierre and Miquelon,0.0088
Haiti,0.0087
Kazakhstan,0.0087
Sudan,0.0086
Armenia,0.0086
France,0.0086
Namibia,0.0084
Norway,0.0084
Spain,0.0084
Guernsey,0.0084
Kiribati,0.0083
Greenland,0.0083
Benin,0.0082
Madagascar,0.0082
Myanmar,0.0082
Jersey,0.0082
Yemen,0.0081
Cambodia,0.0081
Grenada,0.0081
Gibraltar,0.0081
Dominica,0.0081
United States,0.0081
Netherlands,0.0081
Barbados,0.008
Puerto Rico,0.008
Argentina,0.0079
Seychelles,0.0079
Guyana,0.0079
Curacao,0.0079
Malta,0.0079
Nepal,0.0078
Switzerland,0.0078
Laos,0.0077
Trinidad and Tobago,0.0077
Palau,0.0077
Cuba,0.0077
Eritrea,0.0076
Togo,0.0076
Tokelau,0.0076
Fiji,0.0075
Faroe Islands,0.0075
Solomon Islands,0.0074
Bermuda,0.0074
United States Virgin Islands,0.0074
Luxembourg,0.0074
Pakistan,0.0073
Cook Islands,0.0073
Canada,0.0073
Bolivia,0.0072
Saint Vincent and the Grenadines,0.0072
India,0.0071
Guadeloupe,0.0071
China,0.0071
Mauritius,0.0071
Jordan,0.007
Saint Kitts and Nevis,0.007
Mongolia,0.0069
Bhutan,0.0069
El Salvador,0.0069
Vietnam,0.0069
Martinique,0.0069
Albania,0.0069
San Marino,0.0069
Liechtenstein,0.0068
New Zealand,0.0067
Tonga,0.0066
Jamaica,0.0066
Wallis and Futuna,0.0066
Taiwan,0.0066
Sao Tome and Principe,0.0065
Thailand,0.0065
Kyrgyzstan,0.0065
Australia,0.0065
Cyprus,0.0065
Saint Barthelemy,0.0064
Suriname,0.0063
Indonesia,0.0063
Turkey,0.0063
Ireland,0.0063
Brazil,0.0063
Iceland,0.0062
Aruba,0.0062
Egypt,0.0061
Dominican Republic,0.0061
Comoros,0.006
Bahamas,0.006
Hong Kong,0.006
Falkland Islands,0.006
Azerbaijan,0.0059
Iran,0.0059
Sri Lanka,0.0059
Chile,0.0059
Marshall Islands,0.0058
Lebanon,0.0058
Federated States of Micronesia,0.0058
Colombia,0.0058
Tunisia,0.0057
Saint Lucia,0.0057
Bangladesh,0.0056
Morocco,0.0056
Cape Verde,0.0056
Paraguay,0.0055
Western Sahara,0.0055
Peru,0.0055
Guatemala,0.0054
Antigua and Barbuda,0.0054
Vanuatu,0.0053
Israel,0.0053
Turkmenistan,0.0052
Guam,0.0052
Venezuela,0.0052
Samoa,0.0051
South Korea,0.0051
Uzbekistan,0.005
Mexico,0.005
R‚union,0.005
Philippines,0.005
Malaysia,0.0048
New Caledonia,0.0048
French Polynesia,0.0047
Nicaragua,0.0046
Honduras,0.0045
American Samoa,0.0045
Singapore,0.0045
Algeria,0.0044
Panama,0.0044
Tajikistan,0.0043
Iraq,0.0042
Libya,0.0042
Kosovo,0.0042
Sint Maarten,0.0042
Costa Rica,0.0041
Ecuador,0.0041
Palestinian territories,0.004
Belize,0.004
Saudi Arabia,0.0039
Saint Martin,0.0039
Maldives,0.0036
Andorra,0.0035
British Virgin Islands,0.0035
Macau,0.0034
Oman,0.0033
Northern Mariana Islands,0.0033
Anguilla,0.0033
Cayman Islands,0.0032
Syria,0.0031
French Guiana,0.0031
Mayotte,0.003
Brunei,0.0029
Turks and Caicos Islands,0.0023
Bahrain,0.002
Kuwait,0.0018
Qatar,0.0011
United Arab Emirates,0.0009
